TS_Pcomp,TS_Pscav,TS_Texh,TS_Ntc,TS_Pmax,TS_PR,TS_Ntc_Pscav,TS_Pcomp_Pscav,Estimated engine load
59.541397,1.453515,309.68884,10428.784,96.14655,37.81438,6755.2437,39.595722,52.48997
62.5205,1.6406416,319.3514,10870.323,103.14683,42.918037,6327.4946,37.1638,57.57353
63.943996,1.7159036,324.81796,11101.299,106.37766,46.08222,6041.597,36.061028,60.221405
64.08552,1.7272171,326.90384,11143.734,107.65902,48.056095,5828.9346,35.62985,61.368435
63.771152,1.7247565,327.6709,11141.633,108.58584,49.365208,5670.1523,35.666092,61.88163
63.38171,1.7317494,327.48044,11144.699,109.65472,50.141563,5549.0674,35.669304,61.997944
63.13782,1.751274,326.67575,11166.374,110.74577,50.531776,5498.7104,35.433876,61.82875
63.085243,1.775804,325.6551,11192.296,111.65363,50.669094,5528.624,35.02043,61.525997
63.178257,1.7972325,324.73706,11202.83,112.26081,50.663845,5618.829,34.60507,61.22275
63.35716,1.8110982,323.99402,11187.257,112.529655,50.579933,5743.0293,34.338062,60.9712
63.574913,1.8164773,323.2961,11145.893,112.4772,50.442604,5879.9824,34.29137,60.773502
63.793953,1.814927,322.48132,11086.302,112.16347,50.272514,6013.275,34.461166,60.624035
63.98566,1.809596,321.47888,11019.041,111.68411,50.091198,6130.0913,34.78564,60.512676
64.133705,1.8037294,320.3284,10954.182,111.151695,49.9005,6221.952,35.17346,60.40969
64.23218,1.7988,319.1319,10898.931,110.66675,49.67915,6285.806,35.54238,60.265144
64.28058,1.7940712,317.9942,10856.62,110.29312,49.407402,6323.819,35.847458,60.030632
64.281296,1.7880583,316.98932,10826.9375,110.05106,49.091587,6341.592,36.082676,59.68552
64.23926,1.7800769,316.15286,10807.164,109.92792,48.76574,6345.9062,36.264553,59.24575
64.16153,1.7705333,315.48877,10793.653,109.89638,48.474102,6342.997,36.414467,58.75141
64.056076,1.7603297,314.97906,10783.014,109.92728,48.251846,6337.6313,36.548603,58.246887
63.930748,1.7502669,314.59274,10772.683,109.99503,48.115173,6332.8784,36.675648,57.76678
63.79212,1.7407918,314.29337,10761.056,110.07818,48.061928,6330.376,36.79875,57.331078
63.6449,1.732026,314.04434,10747.325,110.15837,48.077385,6330.8135,36.918354,56.94657
63.49163,1.7238917,313.81262,10731.218,110.22051,48.140984,6334.414,37.034245,56.61099
63.33294,1.7162312,313.57016,10712.754,110.25256,48.23114,6341.2686,37.14648,56.31679
63.167923,1.7088794,313.29422,10692.058,110.24579,48.32814,6351.5137,37.255672,56.05416
62.99464,1.7016943,312.96695,10669.254,110.19435,48.41529,6365.3804,37.362858,55.812805
62.810486,1.6945617,312.5749,10644.428,110.09478,48.479103,6383.1694,37.46942,55.582863
62.612644,1.6873873,312.1084,10617.623,109.94513,48.509182,6405.1987,37.576958,55.35544
62.398468,1.680084,311.56165,10588.876,109.744484,48.49801,6431.7275,37.687195,55.12285
62.16587,1.6725614,310.93268,10558.246,109.49238,48.440697,6462.9043,37.802044,54.878685
61.913754,1.6647224,310.22385,10525.859,109.18867,48.33501,6498.7075,37.923527,54.617947
61.642284,1.656462,309.4421,10491.93,108.8337,48.181255,6538.916,38.053745,54.337162
